,a(full violation),a(no violation),a(purpose violation),a(text violation),v,t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
93,3.3948623141873795,3.3497683484179244,2.9837018423045842,3.09351076535729,-0.06742701829463414,1.0834628156235537,1.0023799567007659,0.915311813304393,1.071577010525259,1.1025770386704046,-0.9416396043931061,-0.25124548680294156,0.4143587467260906
94,3.444494782354673,3.3077153764856715,2.8704499458456865,3.0994972476666653,-0.06441241419430975,1.095743349801378,0.9920634917956709,0.9617009759968509,1.003063017633729,1.1249754984089928,-0.8935088554119214,-0.2707952130184487,0.3815096472610427
95,3.386414318101925,3.437224928013805,2.9737433890265192,3.108762523877224,-0.09229096566845095,1.0876136799679954,0.9826305691600834,0.9182869346119339,1.0152976394616924,1.126127202658924,-0.9228882801340168,-0.19687328938348525,0.4259413916860505
96,3.348338579828429,3.2341564720141416,2.966041472922484,3.1343531531536057,-0.0901831075641719,1.0927196890400785,0.9899970414810833,0.9221521809132567,1.0281221720183014,1.1017561695939166,-0.8783382122013965,-0.1750801130230241,0.45520972677434524
97,3.368260847087295,3.3356752642095735,2.942930001119212,3.0193077321756125,-0.08439111675750748,1.0903650170307182,1.0023653485209587,0.9414529627671353,1.0961080693230698,1.1017657502825762,-0.9232653948482105,-0.2603835548312843,0.4548205434110835
98,3.304643767430272,3.2693537970362128,2.8983267731401354,3.1085262560520373,-0.08151473166147896,1.0825858015476362,0.9896479702428177,0.9147732772062179,1.0247059033730657,1.0724885905962251,-0.9078941952686448,-0.21310536108960862,0.4402052094943173
99,3.230978141769045,3.281247253977568,2.9328163259659576,3.107029142703016,-0.07792128197255574,1.091024784556864,0.9974835027942722,0.9215464024848782,1.0219081564277468,1.0630875075220987,-0.8985848040084718,-0.20902042230861434,0.42863606026096357
100,3.3830503441540762,3.3364485617429436,2.9133161055842898,3.119592134182712,-0.09169926357291802,1.0907389377871932,1.0001824868717577,0.9246206583269898,1.0628388745562145,1.0739163847953543,-0.9224986826492411,-0.1822273656661596,0.4085251984883177
101,3.3599114810607134,3.34978061896643,2.907525874649152,3.1140613617079063,-0.0694469273598772,1.0793316249124918,0.9899550931884598,0.903665352088642,1.020950741632999,1.0703946889220644,-0.8912251338222661,-0.2191666305364145,0.4168338427555738
102,3.319938967238356,3.3408142106582535,2.9242603261323814,3.111715597285312,-0.0842716395791102,1.08644079385397,1.0060445680799,0.9077059168330258,1.0486834282264483,1.089191300151313,-0.9327756861124435,-0.18336523763481583,0.43547029347006055
103,3.2885741021224613,3.3189593019024066,2.98672745135619,3.101278942075291,-0.057524667493519546,1.0844745374367906,1.007185083449949,0.9163261438693726,1.039270738687951,1.0684275992804129,-0.9365950589866305,-0.26060484096170605,0.3969652672440328
104,3.4454675611475816,3.3850835590535886,2.92970745985846,3.0993775353575694,-0.07221286509061745,1.0941477129533477,0.9982113560368795,0.9265058368563804,1.027498121403428,1.1324513458021612,-0.9721429564594022,-0.26004969503557446,0.3916020849789267
105,3.3553884804476803,3.4040689597377174,2.890753699392926,3.0926122248056327,-0.08253128182355578,1.088391860032768,1.0032680336422672,0.9288048469413703,1.0051009272007558,1.1263531338971295,-0.9565057445937732,-0.23505361343063214,0.43100589643925596
106,3.3979739894639653,3.261017165815406,2.9543902238441393,3.1228588528287466,-0.08754187135954854,1.0883810180650937,1.0081611949319518,0.904266625193008,1.044169041610873,1.1417325993722236,-0.9080390602238956,-0.19817037779524954,0.4966927965691441
107,3.4413618201815304,3.185895208554927,2.9434704393716933,3.028402120062132,-0.08570205065909547,1.087644891011749,0.9857474737528524,0.9220372597513049,1.053428775783959,1.1340795103166972,-0.805746479023444,-0.16218567153414393,0.42465839262145016
108,3.4370808854598596,3.1685620769523792,2.9820317045102533,3.081968901299148,-0.07504324540734608,1.0952661957992145,0.9935637202547263,0.9251944976787895,1.0286939351376698,1.1122843851821689,-0.8497643889610296,-0.25275237856204397,0.40093044064089145
109,3.3799991957219437,3.3399769968588413,2.9170005801764436,3.0529438682555234,-0.07367862234548617,1.0996781795954136,0.9896281287941513,0.9221319366719452,1.0787185672543513,1.1147440496622976,-0.854904416211524,-0.2538175137160745,0.42760464643112406
110,3.3599705180732458,3.3273710799713965,2.892166830786637,3.0845019066157917,-0.08212778523018893,1.092378905359801,0.999308517370232,0.9227351272201861,1.0622551668547766,1.0762835212963489,-0.9123518266973909,-0.16782266161740841,0.4553185967737049
111,3.397045618888437,3.41938066518698,2.9745597390601723,3.04197520069524,-0.06719882091905895,1.0847311144601948,0.9900804070338022,0.8962362301949028,1.0466707658687762,1.0612337053148377,-0.9557067130690456,-0.2000954378489031,0.367349473001099
112,3.320134268715527,3.271786975693269,2.9230759286131818,3.122347310029215,-0.06828360618895168,1.0961232279571311,1.0052357906601852,0.9010583046726568,1.0545774154657894,1.1033331070837782,-0.9014695865135424,-0.2448996531788899,0.43186691189810783
